en,ig
MD5 Fingerprint:,Mkpịsịaka MD5:
General,Zurugbezurugbe
Certificate _Hierarchy,Haịraki _Asambodo
Certificate _Fields,Fildu _Asambodo
Field _Value,Valiu _Fildu
_View Certificate#x2026;,_Gosi Asambodo
Fonts,Ngwe ndị egosiri n'okpuru nke ihuakwụkwọ
_Use system fonts,Jiri ihumkpụrụedemede nke gị
Style,Ụhara
_Remember passwords,Họrọ okwumbanye.
Temporary Files,Kọmputa faịlụ ebenchekwaozi nwaobere
_Disk space:,_Ohere diski:
MB,MB
Cl_ear,We_pụ
Privacy,Nkennọọrọ onwe
Encodings,Ndenye kóòdù dị ichiiche
De_fault:,Di_fọ́ọ̀ltụ̀:
Languages,Asụsụ dị ichiiche
Language,Asụsụ
Add Language,Tinye Asụsụ
Choose a l_anguage:,Họrọ otu a_sụsụ:
Frames,Ngwe ndị egosiri n'okpuru nke ihuakwụkwọ
O_nly the selected frame,Mepee búùkmáàkị̀ nke ahụ a họọrọ na táàbụ̀ ọfụụ
Background,Ihumkpụrụedemede dị ichiiche
Print background c_olors,Ihumkpụrụedemede na ụcha
Print background i_mages,Chekwaa okpụrụ inyogo '%s'
Footers,Ngwe ndị egosiri n'okpuru nke ihuakwụkwọ
Page _numbers,Ọnụọgụgụ _ihuakwụkwọ
_Date,_Ụbọchị
Headers,Ngwe ndị egosiri n'elu ihuakwụkwọ
P_age title,I_siokwu ihuakwụkwọ
_Page address,_Ngosi ebe ihuakwụkwọ
Unknown,Amaghị
Epiphany can't be used now. Initialization failed.,Agaghị ejinwu Epiphany arụnwu ọrụ ugbua. Mbido Mozilla dara ada.
Arabic (_IBM-864),Arabic (_IBM-864)
Arabic (ISO-_8859-6),Arabic (ISO-_8859-6)
Arabic (_MacArabic),Arabic (_MacArabic)
Arabic (_Windows-1256),Arabic (_Windows-1256)
Baltic (_ISO-8859-13),Baltic (_ISO-8859-13)
Baltic (I_SO-8859-4),Baltic (I_SO-8859-4)
Baltic (_Windows-1257),Baltic (_Windows-1257)
_Armenian (ARMSCII-8),_Armenian (ARMSCII-8)
_Georgian (GEOSTD8),_Georgian (GEOSTD8)
Central European (_IBM-852),Central European (_IBM-852)
Central European (I_SO-8859-2),Central European (I_SO-8859-2)
Central European (_MacCE),Central European (_MacCE)
Central European (_Windows-1250),Central European (_Windows-1250)
Chinese Simplified (_GB18030),Chinese Simplified (_GB18030)
Chinese Simplified (G_B2312),Chinese Simplified (G_B2312)
Chinese Simplified (GB_K),Chinese Simplified (GB_K)
Chinese Simplified (_HZ),Chinese Simplified (_HZ)
Chinese Simplified (_ISO-2022-CN),Chinese Simplified (_ISO-2022-CN)
Chinese Traditional (Big_5),Chinese Traditional (Big_5)
Chinese Traditional (Big5-HK_SCS),Chinese Traditional (Big5-HK_SCS)
Chinese Traditional (_EUC-TW),Chinese Traditional (_EUC-TW)
Cyrillic (_IBM-855),Cyrillic (_IBM-855)
Cyrillic (I_SO-8859-5),Cyrillic (I_SO-8859-5)
Cyrillic (IS_O-IR-111),Cyrillic (IS_O-IR-111)
Cyrillic (_KOI8-R),Cyrillic (_KOI8-R)
Cyrillic (_MacCyrillic),Cyrillic (_MacCyrillic)
Cyrillic (_Windows-1251),Cyrillic (_Windows-1251)
Cyrillic/_Russian (IBM-866),Cyrillic/_Russian (IBM-866)
Greek (_ISO-8859-7),Greek (_ISO-8859-7)
Greek (_MacGreek),Greek (_MacGreek)
Greek (_Windows-1253),Greek (_Windows-1253)
Gujarati (_MacGujarati),Gujarati (_MacGujarati)
Gurmukhi (Mac_Gurmukhi),Gurmukhi (Mac_Gurmukhi)
Hindi (Mac_Devanagari),Hindi (Mac_Devanagari)
Hebrew (_IBM-862),Hebrew (_IBM-862)
Hebrew (IS_O-8859-8-I),Hebrew (IS_O-8859-8-I)
Hebrew (_MacHebrew),Hebrew (_MacHebrew)
Hebrew (_Windows-1255),Hebrew (_Windows-1255)
_Visual Hebrew (ISO-8859-8),_Visual Hebrew (ISO-8859-8)
Japanese (_EUC-JP),Japanese (_EUC-JP)
Japanese (_ISO-2022-JP),Japanese (_ISO-2022-JP)
Japanese (_Shift-JIS),Japanese (_Shift-JIS)
Korean (_EUC-KR),Korean (_EUC-KR)
Korean (_ISO-2022-KR),Korean (_ISO-2022-KR)
Korean (_JOHAB),Korean (_JOHAB)
Korean (_UHC),Korean (_UHC)
_Celtic (ISO-8859-14),_Celtic (ISO-8859-14)
_Icelandic (MacIcelandic),_Icelandic (MacIcelandic)
_Nordic (ISO-8859-10),_Nordic (ISO-8859-10)
_Persian (MacFarsi),_Persian (MacFarsi)
Croatian (Mac_Croatian),Croatian (Mac_Croatian)
_Romanian (MacRomanian),_Romanian (MacRomanian)
R_omanian (ISO-8859-16),R_omanian (ISO-8859-16)
South _European (ISO-8859-3),South _European (ISO-8859-3)
Thai (TIS-_620),Thai (TIS-_620)
Thai (IS_O-8859-11),Thai (IS_O-8859-11)
_Thai (Windows-874),_Thai (Windows-874)
Turkish (_IBM-857),Turkish (_IBM-857)
Turkish (I_SO-8859-9),Turkish (I_SO-8859-9)
Turkish (_MacTurkish),Turkish (_MacTurkish)
Turkish (_Windows-1254),Turkish (_Windows-1254)
Unicode (UTF-_8),Unicode (UTF-_8)
Cyrillic/Ukrainian (_KOI8-U),Cyrillic/Ukrainian (_KOI8-U)
Cyrillic/Ukrainian (Mac_Ukrainian),Cyrillic/Ukrainian (Mac_Ukrainian)
Vietnamese (_TCVN),Vietnamese (_TCVN)
Vietnamese (_VISCII),Vietnamese (_VISCII)
Vietnamese (V_PS),Vietnamese (V_PS)
Vietnamese (_Windows-1258),Vietnamese (_Windows-1258)
Western (_IBM-850),Western (_IBM-850)
Western (_ISO-8859-1),Western (_ISO-8859-1)
Western (IS_O-8859-15),Western (IS_O-8859-15)
Western (_MacRoman),Western (_MacRoman)
Western (_Windows-1252),Western (_Windows-1252)related
English (_US-ASCII),English (_US-ASCII)
Unicode (UTF-_16 BE),Unicode (UTF-_16 BE)
Unicode (UTF-1_6 LE),Unicode (UTF-1_6 LE)
Unicode (UTF-_32 BE),Unicode (UTF-_32 BE)
Unicode (UTF-3_2 LE),Unicode (UTF-3_2 LE)
Unknown (%s),Amaghị (%s)
All,Ha niile
Others,Ndị ọzọ
Local files,Faịlụ ndị nkeụlọ
Blank page,Ihuakwụkwọ ghe oghe
Store password,Okwumbanye
http://www.google.com/search?q=%sie=UTF-8oe=UTF-8,http://www.google.co.uk/search?q=%sie=UTF-8oe=UTF-8
Loading “%s”…,Na-edebata %s...
Loading…,Na-edebata %s...
%s Files,Faịlụ ndị ahụ
FILE,FAỊLỤ
_Move on Toolbar,_Wepụ na tulbáà
Move the selected item on the toolbar,Gosi búùkmáàkị̀ mọọbụ isiokwu a họọrọla na báà búùkmáàks
_Remove from Toolbar,_Wepụ na tulbáà
Remove the selected item from the toolbar,Bagharịa aha búùkmáàkị̀ mọọbụ isiokwu nke ahụ a họọrọ
_Delete Toolbar,_Wepụ tulbáà
Remove the selected toolbar,Bagharịa aha búùkmáàkị̀ mọọbụ isiokwu nke ahụ a họọrọ
Separator,Omenkewa
All supported types,Ụdị dị ichiiche ákwàdòrò ákwàdó
Web pages,Ngwaọrụ www
Images,Inyogo dị ichiiche
All files,Faịlụ niile
Could not create a temporary directory in “%s”.,Ọdịda n'ikewapụta ebenlereanya %s.
The file “%s” exists. Please move it out of the way.,"%s n'arụ ọrụ, biko kpụghapụ ya n'ụzọ."
Failed to create directory “%s”.,Ọdịda n'ikewapụta ebenlereanya %s.
A file with this name already exists and you don't have permission to overwrite it.,"Faịlụ ahụ nwere aha a n'arụbu ọrụ. Ọ bụrụ n'ịchọrọ idegharị faịlụ a, ndịna ahụ ga-efu."
Cannot Overwrite File,Degharịa faịlụ?
Could not display help: %s,Agaghị egosinwu enyemaka: %s
Master password needed,Okwumbanye
Popup Windows,Pọpọp Windos
History,Agụgụala
Bookmark,Búùkmáàkị̀
Bookmarks,Búùkmáàks
Address Entry,Ebe ntinye ngosi ebe
_Download,"_Budatafriendly time"" string for the current day, strftime format. like ""Today 12:34 am"
Today %I:%M %p,friendly timeYesterday 12:34 am
Yesterday %I:%M %p,friendly timeWed 12:34 am
%a %I:%M %p,%a %d %b %Yfriendly timeFeb 12 12:34 am
%b %d %I:%M %p,%a %d %b %Yfriendly timeFeb 12 1997
%b %d %Y,%a %d %b %Y
125%,125%
175%,175%
300%,300%
Finished,Finnish
Show in folder,Gosi mọọbụ zòó tulbáà
Starting…,Na-edebata %s...
Drag and drop this icon to create a link to this page,Dọọ ma tọgbọ aịkọn a ka o kewapụta ụzọ njikọ n'ihuakwụkwọ a
%s:,%s:
“%s” Properties,%s Ngwaọrụ
_Title:,_Isiokwu:
A_ddress:,_Ngosi ebe:
T_opics:,Is_iokwu:
Entertainment,Ọbian̄ụrị
News,Ozi
Shopping,Ịzụ ahịa
Sports,Egwuregwu
Travel,Njem
Work,Ọrụ
Update bookmark “%s”?,"Méè ka búùkmáàkị̀ dị ọfụụ ""%s""?"
The bookmarked page has moved to “%s”.,"Akpụgháálá ihuakwụkwọ ahụ ébúùkmáàkị̀rị̀là nà ""%s""."
_Don't Update,_Etinyekwala ọzị ọfụụ
_Update,_Mee ka ọ dị ọfụụ
Update Bookmark?,Tinye ozi ọfụụ na Búùkmáàkị̀?
Most Visited,Nke á kà banye
Not Categorized,Ahazighi yabookmarks
Nearby Sites,Ahazighi ya
Untitled,Na-enweghị isiokwu
Epiphany (RDF),Epiphany (RDF)
Mozilla (HTML),Mozilla (HTML)
Remove from this topic,Hichaa isiokwu a?
_Help,_Nyeaka
_New Topic,_Isiokwu ọfụụ
Create a new topic,Kewapụta isiokwu ọfụụ
Open the selected bookmark in a new window,Mepee búùkmáàkị̀ nke ahụ a họọrọ na windo ọfụụ
Open the selected bookmark in a new tab,Mepee búùkmáàkị̀ nke ahụ a họọrọ na táàbụ̀ ọfụụ
_Rename…,_Bagharịa aha...
Rename the selected bookmark or topic,Bagharịa aha búùkmáàkị̀ mọọbụ isiokwu nke ahụ a họọrọ
_Properties,_Ngwaọrụ
View or modify the properties of the selected bookmark,Gosi mọọbụ megharịa ngwaọrụ nke búùkmáàkị̀ nke a họọrọ
_Import Bookmarks…,Bubata Búùkmáàks
Import bookmarks from another browser or a bookmarks file,Bubata Búùkmáàks site n'omenchọgharị ọzọ mọọbụ faịlụ búùkmáàks
_Export Bookmarks…,Bupụ Búùkmáàks
Export bookmarks to a file,Bupụ búùkmáàks̀ na faịlụ
Close the bookmarks window,Mechie windo búùkmáàks
Cu_t,Wep_ụ
Cut the selection,Wepụ ihenhọrọ ahụ
_Copy,_Debata
Copy the selection,Debata ihenhọrọ ahụ
_Paste,_Mapanye
Paste the clipboard,Mapanye òchékwáōzím̀gbèńtà
File,Faịlụ
Don't recover,_Enwetakwaláà
Recover session,_Nweta
Do you want to recover the previous browser windows and tabs?,Nweta táàbs na windo omenchọgharị ochie?
_Downloads Bar,Mbudata ndị ahụ
Show the active downloads for this window,Gosi sọsọ fréèmù a na windo a
Enable caret browsing mode?,Jiri móòdù omenchọgharị Kárēètị̀.
_Enable,Hapụ Java
Search the web,Chọgharịa na wéèbụ̀
Browse with caret,Jiri Káréètị̀ chọgharịa
URL Search,_Chọgharịa:
User agent,Aha Ojieme
Automatic downloads,Mbubata nkeonwe
When files cannot be opened by the browser they are automatically downloaded to the download folder and opened with the appropriate application.,Mgbe omenchọgharị nà-émēpéghị́nwú faịlụ ndị ahụ ha ga eji aka ha bubata onwe ha na nsomebefaịlụ mbubata ma mepee n'usoroiheomume kwesịrịnụ̄.
Remember passwords,Họrọ okwumbanye.
Show toolbars by default,Gosi tulbáà site na difọ́ọ̀ltụ̀
Toolbar style,Ọdịdị tulbáà
"Toolbar style. Allowed values are """" (use GNOME default style), ""both"" (text and icons), ""both-horiz"" (text besides icons), ""icons"", and ""text"".","Ọdịdị tulbáà. Valius ndị ekwere bụ """" (use GNOME default style), ""both"" (text and icons), ""both-horiz"" (text besides icons), ""icons"", and ""text""."
Visibility of the downloads window,Mechie windo búùkmáàks
Minimum font size,_Ụhara nke obere:
Use GNOME fonts,Jiri ihumkpụrụedemede nke gị
Use own colors,Jiri ụcha nke gị
Use your own colors instead of the colors the page requests.,Jiri ụcha nke gị kama iji ụcha nke ihuakwụkwọ chọrọ.
Use own fonts,Jiri ihumkpụrụedemede nke gị
Use your own fonts instead of the fonts the page requests.,Jiri ihumkpụrụedemede nke gị kama iji ihumkpụrụedemede nke ihuakwụkwọ chọrọ.
Default encoding,Ndenye kóòdù difọ́ọ̀ltụ̀
Size of disk cache,Ụhara nke diski ébéńchékwáózīọ́sị́sọ́
"Size of disk cache, in MB.","Ụhara nke diski ébéńchékwáózīọ́sị́sọ́, na MB."
"Preferred languages, two letter codes.","Asụsụ ndị akarachọọ, mkpụrụokwu abụọ."
Cookie accept,Nnabata Kuki
"Where to accept cookies from. Possible values are ""anywhere"", ""current site"" and ""nowhere"".","Ebe a ga esi nabata kukiis. Pọsịbụl valius bụ ""anywhere"", ""current site"" and ""nowhere""."
Allow popups,Hapụ pọpọps
Allow sites to open new windows using JavaScript (if JavaScript is enabled).,Hapụ saịts ka ọ mepee windo ndị a n'iji ndesịta asụsụ program (ma ọ bụrụ na a hapụrụ ndesịta asụsụ program).
Enable JavaScript,Hapụ ndesịta asụsụ program
Enable WebGL,Hapụ Java
The downloads folder,Nsomebefaịlụ nke mbubata ndị ahụ
History pages time range,Nhazi oge ihuakwụkwọ agụgụala
Whether to show the title column in the history window.,Ma a ga-ebipụta isiokwu ihuakwụkwọ na ngwe elu ihuakwụkwọ.
Whether to show the address column in the history window.,Ma a ga-ebipụta ngosi ebe ihuakwụkwọ na ngwe elu ihuakwụkwọ.
Whether to show the date-time column in the history window.,Ma a ga-ebipụta ụbọchị na ngwe okpuru ihuakwụkwọ.
Whether to show the title column in the bookmarks window.,Ma a ga-ebipụta isiokwu ihuakwụkwọ na ngwe elu ihuakwụkwọ.
Whether to show the address column in the bookmarks window.,Ma a ga-ebipụta ngosi ebe ihuakwụkwọ na ngwe elu ihuakwụkwọ.
Enabled,Hapụ Java
Press %s to exit fullscreen,Chọgharịa na njupụta inyogo
_Open,Mepee
_Save,Chekwaa
Epiphany profile migrator,Omenchọgharị wéèbụ̀ Epiphany
Epiphany profile migrator options,"friendly time"" string for the current day, strftime format. like ""Today 12:34 am"
The certificate has expired,Ébūbàtáláàrị́ị̀ asambodo ahụ.
The certificate contains errors,Ngwaọrụ asambodo
The certificate has been revoked,Ébūbàtáláàrị́ị̀ asambodo ahụ.
All sites,Faịlụ niile
_Add,_Ngosi ebe
New _Incognito Window,_Windo ọfụụ
Reopen Closed _Tab,Mechie táàbụ̀
_History,Agụgụala
_Personal Data,D_ata nkeonwe
Pr_eferences,Nkarachọ
Cookie properties,Ngwaọrụ Kukiis
A_utomatically open downloaded files,O ji aka ya budata ma mepee faịlụ ndị ahụ
Stop,_Kwụsị
Text not found,Ndenye kóòdù ngwe
All history,Azụ agụgụala
Could not start Web,Agaghị egosinwu enyemaka: %s
Web options,Omenchọgharị Wéèbụ̀
Search the Web for %s,Chọgharịa na wéèbụ̀
Edit _Bookmarks,_Dezie Búùkmáàks
Zoom _In,Banye _n'ime
Zoom O_ut,Pụt_a
_Copy E-mail Address,_Debata ngosi ebe imeelụ
Back,Azụ
Forward,Ihu
Go to most visited,Gaa n'ihuakwụkwọ nke ọzọ abanyegorola
An application with the same name already exists. Replacing it will overwrite it.,"Faịlụ ahụ nwere aha a n'arụbu ọrụ. Ọ bụrụ n'ịchọrọ idegharị faịlụ a, ndịna ahụ ga-efu."
Create Web Application,Kewapụta isiokwu ọfụụ
Web Website,_Web saịts
About Web,_Maka
Remove from overview,_Wepụ na tulbáà
Problem loading “%s”,Na-edebata %s...
Reload Anyway,_Debatagharịa
Problem displaying “%s”,Chekwaa ụzọ njikọ '%s'
Web profile migrator options,"Omenchọgharị Wéèbụ̀friendly time"" string for the current day, strftime format. like ""Today 12:34 am"
Web bookmarks,Búùkmáàkịs Wéèbụ̀
Clear Personal Data,D_ata nkeonwe
Cache and temporary files,Kọmputa faịlụ ebenchekwaozi nwaobere
Browsing history,Wepụ nchọgharị agụgụala?
Saved passwords,Họrọ okwumbanye.
Site,Saịtị dị ichiiche
Search history,Azụ agụgụala
Location,_Ebe...
_Copy Location,_Ebe...
Add _Bookmark,Tinye Búùkmáàkị̀
Search passwords,Okwumbanye
Password,Okwumbanye
_Copy Password,_Okwumbanye:
C_opy Username,Aha Ojieme
Search,_Chọgharịa:
Manage Cookies,_Gosi Asambodo
Manage Passwords,Okwumbanye
_Down,_Budata
View _Image,Mepee _inyogo
https://google.com/search?q=%s,http://www.google.co.uk/search?q=%sie=UTF-8oe=UTF-8
http://www.bing.com/search?q=%s,http://www.google.co.uk/search?q=%sie=UTF-8oe=UTF-8
Issued To,Enyere na:
Issued By,Enyere na:
Fingerprints,Mkpịsịaka MD5:
Home page,Ụlọ ihu inyogo
Save the current page as a Web Application,Chekwaa ihuakwụkwọ nke ọfụụ
_Store password,Okwumbanye
Failed to copy cookies file from Mozilla.,"friendly time"" string for the current day, strftime format. like ""Today 12:34 am"
_Don't recover,_Enwetakwaláà
_Recover session,_Nweta
_Extensions,Mgbatịkwu ndị n'arụ ọrụ
Middle click to open the web page pointed to by the currently selected text,Pịa n'etiti ka imepee ngwaọrụ www apọintịrị na site na ngwe a họrọla ọfụụ
Middle clicking on the main view pane will open the web page pointed to by the currently selected text.,Pịa n'etiti péènù ngosi nkeisi ga-emepe ngwaọrụ www nke apọịntịrị na site na ngwe a họrọla ọfụụ.
Active extensions,Mgbatịkwu ndị n'arụ ọrụ
Lists the active extensions.,Desịta mgbatịkwu ọrụ ọrụ.
Web browser for GNOME,Omenchọgharị Wéèbụ̀
About GNOME,Maka GNOME
Learn more about GNOME,Mụtakwuo ụfọdụ ihe gbasara GNOME
Friends of GNOME,Ndị enyi GNOME
Contact,Mmekọ
The Mysterious GEGL,GEGL nke ahụ a na-amaghị́ị̀
The Squeaky Rubber GNOME,Ụda rọba nke Gnome
Wanda The GNOME Fish,Wanda azụ GNOME
About the GNOME Desktop,Maka ihe gbasara GNOME Desktọ́ọ̀pụ̀
Welcome to the GNOME Desktop,Nnọ́ọ̀ nà GNOME Desktọ́ọ̀pụ̀
Brought to you by:,Nke ewetààrà gị site n'aka:
Version,Agbanke
Distributor,Omenkesa
Build Date,Ụbọchị ọrụrụ
"GNOME is a Free, usable, stable, accessible desktop environment for the Unix-like family of operating systems.","GNOME bụ efu, dị̄ ōmúmé, kwụrụ chịm, dịkwa mfe mbanye nke desktọọpụ ebe maka dịka-Yuniksị ezinụlọ nke sistem usoroomumeihe."
"GNOME includes most of what you see on your computer, including the file manager, web browser, menus, and many applications.","GNOME na-etinye ụfọdụ ihe ị na-ahụ na kọmputa gị, tinyere onyenlekọta faịlụ, omenchọgharị weebụ, menus, nakwa ọtụtụ usoroiheomume ndị ahụ."
