,en,ig
877,pilfering,aka n'tụtụ
878,light fingers,aka n'tụtụ
879,He is light-fingered,Ọ bụ onye aka ntụtụ
880,wooden pestle for yam pounding,aka odo
881,stone for grinding corn,aka okwute
882,lines on the hand,akala aka
883,destiny,akala aka
884,biceps,akpụ aka
885,span,ama aka
886,forearm,anị ogwe aka
887,hypocrisy,azụ aka
888,he is being hypocritical with us,Ọ na-ezi anyị azụ aka
889,lay hands upon,bikwasị aka
890,confirm,bikwasị aka n'isi
891,take hold of,bitụ aka
892,grasp,bitụ aka
893,press with hand lightly,bitụ aka
894,lift up hands,chịni aka
895,take the hands off,chịni aka
896,desist from,chịni aka
897,hold up the hands,chịnita aka
898,lay hands on,da aka
899,be responsible,dị n'aka
900,help,du aka
901,poke,dụ aka
902,withered hand,efeli aka
903,beckon,fe aka
904,hold someone responsible,gado aka
905,catch hold of lightly,gịgado aka
906,snap fingers to show interest,gba aka
907,be empty-handed:,gba aka
908,I shall go to the King's house empty-handed,aga m` agba aka je be eze
909,be childless,gba aka nwa
910,be empty-handed,gba aka ọkpọrọ
911,be unemployed,gba aka ọlụ
912,elbow,ikili aka
913,forearm,iru aka
914,thumb,isi aka
915,be sure,ji aka
916,hope,ji aka
917,Are you sure Chioma will come today? Yes,I ji aka na Chioma ga-abịa taa? Ee
918,Are you sure Chioma will come today? Yes,eji m aka na ọga-abịa taa
919,I am sure she will come today,I ji aka na Chioma ga-abịa taa? Ee
920,I am sure she will come today,eji m aka na ọga-abịa taa
921,I am hopeful that God will help us,Eji mm aka na Chukwu ga-enyelụ anyị aka
922,join hands in doing something,jikọ aka
923,be disappointed,jipụ aka
924,be plentiful,ju aka
925,nurse,ku n'aka
926,hold in the arms,ku n'aka
927,clap hands,kụ aka
928,fail,kụpụ aka
929,give up,kụpụ aka
930,motion with hands for silence,kpukpu aka
931,push,kwa aka
932,urge,kwa aka
933,drive,kwa aka
934,shake hands,kwe n'aka
935,lay hold of,kwedo aka
936,wash the hands,kwọ aka
937,clench,kwukwu aka
938,close the hand,kwukwu aka
939,fist,nkwukwu aka
940,rub the hands together in supplication,kwụkọ aka
941,receive,lu aka
942,reach,lu aka
943,be friendly,malụ aka
944,be familiar with,malụ aka
945,handful of food,m`be aka nni
946,be fond of pilfering,me aka n'tụtụ
947,picking and stealing,me aka n'tụtụ
948,touch lightly,metụ aka
949,ring,m`gba aka
950,ring,mgba aka
951,biceps,mkpa aka
952,walking-stick,mkpa n'aka
953,staff,mkpa n'aka
954,finger,mkpịsị aka
955,handful,ṅju aka
956,elbow,ṅku aka
957,push,nu aka
958,help,nye aka
959,assist,nye aka
960,give a helping hand,nye aka
961,sufficiency,nnweju aka
962,enough,nnweju aka
963,palm of hand,ọbụ aka
964,tyranny,ọchịchị aka ike
965,little finger,ọdụ aka
966,arm,ọgwe aka
967,whitlow,ọgwụ aka
968,arm's length,ọtụtụ aka
969,open the hand,sa aka
970,strike,ti aka
971,beat,ti aka
972,with hand,ti aka
973,dine,tinye aka na nni
974,have meal,tinye aka na nni
975,dine with,tinye aka na nni
976,stretch hands,tị aka
977,fingers,tị aka
978,crack the knuckles,tị aka
979,clasp,tụkpO aka
980,pilfer,tụtụ aka
981,pick and steal,tụtụ aka
982,children,ụmụ aka
983,babes in arms,ụmụ aka
984,take hand from,weni aka
985,raise hand,weni aka
986,abandon,weni aka
987,leave alone,weni aka
988,raise hand up,weni aka enu
989,take hands off,wepụ aka
990,point at,zo aka
991,point with the hand,zo aka
992,length,aka
993,distance,aka
994,live far away,bite aka
995,live for long,bite aka
996,carry to a great distance,bute aka
997,go far away,gate/jete aka
998,be distant,te aka
999,far,te aka
1000,remote,te aka
1001,be long,te aka
1002,kind of bead worn round neck,aka
1003,necklace,aka
1004,bead worn on wrist by renowned men,aka
1005,dwarf,aka
1006,midget,aka
1007,dwarf,akakpọ
1008,midget,akakpọ
1009,male palace dwarf associated with Eze ṅri,aka ṅri
1010,male palace dwarf associated with Eze ṅri,Eze ṅri
1011,year,aka
1012,last year,aka a
1013,last year,aka afụ
1014,old times,aka a
1015,old times,aka afụ
1016,days of old,aka a
1017,days of old,aka afụ
1018,stinge,aka gum
1019,stinge,aka superclue
1020,jigger,aka
1021,jigger,ọka
1022,animal tick,aka
1023,animal tick,ọka
1024,insect seen on unscrubbed mud floors,aka nwa ṅtugbu
1025,pangolin,akabọ
1026,whose skin is used for medicine,akabọ
1027,mockery,akaje
1028,humiliation,akaje
1029,humiliate,me akaje
1030,disgrace:,me akaje
1031,If that man dares come here again we shall humiliate him,Ọ bụlụ na nwoke afụ abịazie ebe a ọzọ anyị ga-eme ya akaje
1032,person,akakpọ
1033,person,aka
1034,be stunted in growth,da akakpọ
1035,dwarf,nwa akakpọ
1036,stunted person,nwa akakpọ
1037,be stunted in growth,sụ akakpọ
1038,sign,akala
1039,mark,akala
1040,cut,akala
1041,footprint,akala
1042,draw a line,ka akala
1043,ldestiny,akala aka
1044,ines on the hand,akala aka
1045,insignia of office,akala ọkwa
1046,cake made of beans,akala
1047,cake made of beans,akara
1048,cake made of beans,akara
1049,spirits of the dead of worthless people :,akaloọgọli
1050,spirits of the dead of worthless people :,mmụọ
1051,He is possessed by the spirits of worthless people,Ndị akaloọgọli ji ya aka
1052,Unambititious,Ndị akaloọgọli ji ya aka
1053,easy-going,Ndị akaloọgọli ji ya aka
1054,prodigal person,Ndị akaloọgọli ji ya aka
1055,guinea corn gruel,akamu
1056,hot pap,akamu
1057,mix,gbe akamu
1058,prepare liquid pap,gbe akamu
1059,potash,akanwụ
1060,potash,kanwaa
1061,thatching mats made of ngwọ leaves,akanya
1062,thatching mats made of ngwọ leaves,akanyị
1063,make thatch,do akanya
1064,thatch roof,tụ akanya
1065,build thatch-roofed house,tụ akanya
1066,build thatch-roofed house,tụ ụnọ akanya
1067,see akala,akara
1068,bottle,akarama
1069,common type of cocoyam,akasị
1070,common type of cocoyam,ede
1071,masquerade with a large head,akataaka
1072,great person {used as a praise-name,akatakpo
1073,He is a great person,Ọ bụ akatakpo mmadu
1074,frog whose cry is a sign of the annual flood of the Niger,akele
1075,of palm nut/nut,aki
1076,termite,akịka
1077,pattern of spots,akịka
1078,be spotted,tụ akịka
1079,see akụkọ,akịkọ
1080,see akụkọ,akụkọ
1081,dry grass,akịlịka
1082,grass for thatching,akịlịka
1083,dry palm fronds,akịlịka
1084,build grass-roofed house,tụ  akịlịka
1085,peeling or scraping of roasted yam,akịlịkọ
1086,food burnt in cooking,akịlịkọ
1087,dry yam plant,akịlịkọ
1088,wisdom,ako
1089,prudence,ako
1090,sense,akọ
1091,intelligence,akọ na uche
1092,mind,akọ na uche
1093,be intelligent,nwe akọ
1094,be sensible,nwe akọ na uche
1095,intelligent:,nwe akọ na uche
1096,Chukwuma is very intelligent,Chukwuma nwelụ nnukwu akọ na uche
1097,Chukwuma is very intelligent,Chukwuma
1098,food prepared from ground maize for feasts,akọ
1099,dry,akọlọ
1100,see akụlọ,akọlọ
1101,see akụlọ,akụlọ
1102,fever,akọm
1103,fever,akụm
1104,malaria,akọm
1105,malaria,akụm
1106,jaundice,akọm
1107,jaundice,akụm
1108,fever,ịba
1109,malaria,ịba
1110,jaundice,ịba
1111,abuse,akọmọọnụ
1112,vituperation,akọmọọnụ
1113,bag,akpa
1114,I lost my wallet,akpa ego mu e fuole
1115,womb,akpa nnwa
1116,kidney,akpa nwamiri
1117,I lost my bag,akpam e fuole
1118,thigh,akpata
1119,loackers,akpata mgbach
1120,strip iron used to strengthen a mud building and join timbers,akpa
1121,grub such as found in compost heap or decaying palm tree,akpa
1122,grub usually found in a decaying compost heap,akpa agbụgbọ
1123,grub found on palm tree and in decaying palm tree trunk,akpa nkwụ
1124,living or dead palm fronds,akpa
1125,long broom prepared from palm fronds,akpa
1126,used for sweeping outside,akpa
1127,palm fronds,akpa nkwụ
1128,long broom of palm fronds,akpa nkwụ
1129,long broom of palm fronds,oke akpa
1130,bag,akpa
1131,sack,akpa
1132,container,akpa
1133,boil in armpit,akpa abụ
1134,diviner's bag,akpa afa
1135,quiver,akpa akụ
1136,purse,akpa ego
1137,200 naira,akpa ego
1138,24,akpa ego
1139,000 cowries,akpa ego
1140,purse,200
1141,200 naira,200
1142,24,200
1143,000 cowries,200
1144,purse,24
1145,purse,000
1146,200 naira,24
1147,200 naira,000
1148,24,24
1149,24,000
1150,000 cowries,24
1151,000 cowries,000
1152,purse,20 akwa
1153,200 naira,20 akwa
1154,24,20 akwa
1155,000 cowries,20 akwa
1156,stomach,akpakwulu
1157,womb,akpa nnwa
1158,uterus,akpa nnwa
1159,bladder,akpa nnwammili
1160,pod of kolanut,akpa ọjị
1161,mind,akpa uche
1162,memory,akpa uche
1163,asthma,akpa ụkwala
1164,nest,akpa
1165,bees' nest,akpa anwụ
1166,wasps' nest,akpa ebu
1167,bag,akpa
1168,Larvae raffia palm,akpa elulu
1169,Larvae raffia palm,elulu-ngwo
1170,Larvae raffia palm,akpa ngwo
1171,Larvae raffia palm,erughulu ukwu ngwo
1172,ready-to-eat foods {Larvae raffia palm often fried and sauced vended on highways: Onitsha-Owerri,akpa elulu
1173,ready-to-eat foods {Larvae raffia palm often fried and sauced vended on highways: Onitsha-Owerri,elulu-ngwo
1174,ready-to-eat foods {Larvae raffia palm often fried and sauced vended on highways: Onitsha-Owerri,akpa ngwo
1175,ready-to-eat foods {Larvae raffia palm often fried and sauced vended on highways: Onitsha-Owerri,erughulu ukwu ngwo
1176,hot or chilled that are ready for immediate consumption at the point of sale without further treatment are generally described as ready-to-eat,akpa elulu
1177,hot or chilled that are ready for immediate consumption at the point of sale without further treatment are generally described as ready-to-eat,elulu-ngwo
1178,hot or chilled that are ready for immediate consumption at the point of sale without further treatment are generally described as ready-to-eat,akpa ngwo
1179,hot or chilled that are ready for immediate consumption at the point of sale without further treatment are generally described as ready-to-eat,erughulu ukwu ngwo
1180,Larvae raffia palm,Larvae raffia palm
1181,ready-to-eat foods {Larvae raffia palm often fried and sauced vended on highways: Onitsha-Owerri,Larvae raffia palm
1182,hot or chilled that are ready for immediate consumption at the point of sale without further treatment are generally described as ready-to-eat,Larvae raffia palm
1183,used in:,akpaka
1184,log of wood on which the blacksmith's anvil is set. It is buried in the ground with raffia fibres forming the base so that the log of wood jumps when the iron is hit by the blacksmith. This lightens the jarring of the hammer on the blacksmith's hand.,akpaka ụzụ
1185,long bamboo frame for carrying load,akpalata
1186,stretcher for sick person,akpalata
1187,tree whose seed is used in making soup,akpalataa
1188,yellow,akpammanụ
1189,brown,akpammanụ
1190,dung of fowls and birds,akpana
1191,used in - tụ akpanị be bellicose,akpanị
1192,pugnacious,akpanị
1193,used in - tụ akpanị be bellicose,tụ akpanị
1194,pugnacious,tụ akpanị
1195,cupboard,akpanti nri
1196,someone who can behave badly because he is protected at a higher level,akparaja
1197,shelf for storing,akpata
1198,box,akpati
1199,coffin,akpati ozu
1200,casket,akpati ozu
1201,trumpet,akpele
1202,horn,akpele
1203,bed bug,akpi
1204,scorpion,akpị
1205,scorpion,odogwu ọzala
1206,tick,akpị
1207,bedbug,akpị
1208,throat,akpịlị
1209,lose voice,� gụ
1210,I have lost my voice,akpịlị`gụlụ m
1211,sore throat,amaafịa ṅtụtọ akpịlị
1212,make to lose voice:,gụ akpịlị
1213,A cough has taken away my voice,Ukwala gụlụ m akpịlị
1214,goitre,opu akpịlị
1215,desire,opu akpịlị
1216,greed,opu akpịlị
1217,lust,opu akpịlị
1218,long after,dọ akpịlị
1219,delight,to akpịlị
1220,appeal to,to akpịlị
1221,also specifically used to refer to practice by some children who gaze steadily at person eating or holding eatable thing which greatly appeals to them,to akpịlị
1222,throat,akpili
1223,throat,akpiri
1224,scale of fish,akpịlịkpa
1225,calling,akpo
1226,round,akpo
1227,number of times,akpo
1228,once only,sọ Ofu akpo
1229,once for all,sọ Ofu akpo
1230,soft palate,akpo
1231,roof of the mouth,akpo
1232,cassava,akpụ
1233,cassava starch,akpụ
1234,fufu,akpụ
1235,raw fufu,akpụ apalapa
1236,raw fufu,apịlapị
1237,shredded cassava,akpụ ṅkọlọ
1238,raw or pounded fufu,akpụ ṅkọlọ
1239,archaic name loosely used for cassava generally,akpụ ṅkọlọ
1240,steep,gbunye akpụ
1241,soak cassava in water,gbunye akpụ
1242,grate cassava,kwọ akpụ
1243,make gari,kwọ akpụ
1244,cassava,ọdọ akpọ
1245,raw fufu stalls � a section of the market where cassava,ọdọ akpọ
1246,raw fufu,ọdọ akpọ
1247,is displayed for sale,ọdọ akpọ
1248,fufu,akpu
1249,cassava starch meal,akpu
1250,cottonwood,akpụ
1251,silk cotton tree,akpụ
1252,found at Agwụ shrine,akpụ
1253,cottonwood,Agwụ
1254,silk cotton tree,Agwụ
1255,found at Agwụ shrine,Agwụ
1256,kapok,Owu akpọ
1257,kapok,ulume akpọ
1258,knot,akpụ
1259,lump,akpụ
1260,cyst,akpụ
1261,hump,akpụ
1262,knot,ọkpụ
1263,lump,ọkpụ
1264,cyst,ọkpụ
1265,hump,ọkpụ
1266,biceps,akpụ aka
1267,second yam for replanting.,akpọ ji
1268,second yam for replanting.,akpụ ji
1269,goitre,akpụ onu
1270,thigh muscle,akpụ ụkwọ
1271,extract,wụ akpụ
1272,excise tumour,wụ akpụ
1273,crawcraw,akpụkpa
1274,attack :,ta
1275,Ndubuisi has crawcraw,Akpụkpa na-ata Ndubuisi
1276,cause crawcraw:,ta akpụkpa
1277,salt causes crawcraw,Nnu ọchaṅja na-ata akpụkpa ọchanja
1278,skin,akpụkpọ
1279,leather,akpụkpọ
1280,hide,akpụkpọ
1281,boot,akpụkpọ ụkwọ
1282,shoe,akpụkpọ ụkwọ
1283,sandal,akpụkpọ ụkwọ
1284,flay,gba akpụkpọ
